url,title,author,type,insertionDate,refreshNB,watchTime,actionNB,videoViewsNB,parent_id,ED,EG,G,D,C,P,EU,O
YDBIxhq6pH4,"M. Pokora, Fally Ipupa - Chez toi, chez moi (Clip officiel)",M. Pokora Officiel,homepage,2024-05-11T20:07:33.162Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
3rcC9jVlhhw,JuL - Jai pris le mic (Clip Officiel),DORETDEPLATINE,homepage,2024-05-11T20:07:33.166Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
-NEZBTe0tM0,"Meduza, OneRepublic, Leony - Fire (Official UEFA EURO 2024 Song)",Meduza,homepage,2024-05-11T20:07:33.170Z,0.0,0,19,19,,0,0,0,0,0,1,1,0
OpaV5V3J0oc,"Leto - Enlève tes pes-sa feat JKSN, Kaaris & La Mano 1.9 (Clip officiel)",Leto,homepage,2024-05-11T20:07:33.173Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
zYF-nBFI-Ts,David Kushner - Hero (Official Music Video),David Kushner,homepage,2024-05-11T20:07:33.177Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
KbB-PNfURn4,Soso Maness - DLB13014 (Clip officiel),Soso Maness,homepage,2024-05-11T20:07:33.181Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
SQ1yPMTIwCU,Stray Kids Lose My Breath (Feat. Charlie Puth) M/V,JYP Entertainment,homepage,2024-05-11T20:07:33.185Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
ov_wDIEpG_g,RK - MOUSSA PART. I,RK OFFICIEL,homepage,2024-05-11T20:07:33.189Z,0.0,0,19,19,,0,0,0,0,0,0,0,1
N923_N1xTPY,EUROPÉENNES : le programme dEurope Écologie Les Verts résumé (Yannick Jadot),HugoDécrypte - Actus du jour,regular,2024-05-11T20:10:43.197Z,,180000,20,20,,0,0,0,0,0,1,1,0
Yiu1Nj6YJDQ,"
          
          
          
          
            EUROPÉENNES - Le programme du Rassemblement National résumé (Jordan Bardella)
          
        ",HugoDécrypte - Actus du jour,proposal,2024-05-11T20:10:44.549Z,,0,20,20,N923_N1xTPY,1,0,0,0,0,1,1,0
oeS8Hp7uy6Q,"
          
          
          
          
            Les élections en 2024, ça dit quoi ?
          
        ",franceinfo,proposal,2024-05-11T20:10:45.176Z,,0,20,20,N923_N1xTPY,0,0,0,0,0,1,0,0
rxpIN3VsV7A,"
          
          
          
          
            Révélations sur le hacker le plus recherché au monde
          
        ",HugoDécrypte - Actus du jour,proposal,2024-05-11T20:10:45.186Z,,0,20,20,N923_N1xTPY,0,0,0,0,0,0,0,1
